"Freq [GHz]","dB(S(SMA_conn_CS_2_1_1,SMA_conn_CS_2_1_1)) []","dB(S(SMA_conn_CS_2_2_1,SMA_conn_CS_2_1_1)) []"
1,-27.4553690343543,-0.0348324496449241
1.02,-27.593205595547,-0.0354832620505053
1.04,-27.7494170880526,-0.0361256849849475
1.06,-27.9250210994463,-0.0367609087328491
1.08,-28.1211931400395,-0.0373902985825776
1.1,-28.3392933850999,-0.0380153940496495
1.12,-28.5808999041174,-0.0386379074560932
1.14,-28.8478502745476,-0.039259721859026
1.16,-29.1422941620087,-0.0398828883235915
1.18,-29.4667604265842,-0.0405096225370787
1.2,-29.8242437332046,-0.0411423007629426
1.22,-30.2183177364216,-0.0417834551353365
1.24,-30.653285052419,-0.0424357682966594
1.26,-31.1343790421431,-0.0431020673827021
1.28,-31.6680399452699,-0.0437853173619473
1.3,-32.2622998943747,-0.0444886137377326
1.32,-32.9273308665695,-0.0452151746240795
1.34,-33.676242032067,-0.0459683322081977
1.36,-34.5262673504494,-0.0467515236148875
1.38,-35.5005748500106,-0.0475682811902703
1.4,-36.6310700605939,-0.0484222222246234
1.42,-37.9627234075508,-0.0493170381362778
1.44,-39.5597328866865,-0.0502564831409467
1.46,-41.5105596811485,-0.0512443624330137
1.48,-43.9049305293069,-0.0522845199077191
1.5,-46.6034504974403,-0.053380825455341
1.52,-48.2055880330038,-0.0545371618607972
1.54,-46.6859202337522,-0.0557574113441314
1.56,-43.7834159426887,-0.0570454417796172
1.58,-41.1187464769033,-0.0584050926332094
1.6,-38.9023933210622,-0.059840160659962
1.62,-37.0509765136041,-0.0613543854050451
1.64,-35.4734467071912,-0.0629514345535925
1.66,-34.1029013033491,-0.0646348891763293
1.68,-32.892438699237,-0.0664082289193624
1.7,-31.8088370743059,-0.0682748171878054
1.72,-30.8280177024336,-0.0702378863741112
1.74,-29.9320959216044,-0.0723005231828722
1.76,-29.1074798759044,-0.0744656541045939
1.78,-28.343625418506,-0.076736031091569
1.8,-27.6322023023253,-0.0791142174891737
1.82,-26.9665225871096,-0.0816025742760538
1.84,-26.3411399102905,-0.0842032466664708
1.86,-25.7515626373825,-0.0869181511277324
1.88,-25.1940445828949,-0.0897489628648235
1.9,-24.6654296575868,-0.0926971038236004
1.92,-24.1630347177654,-0.0957637312625668
1.94,-23.6845599498643,-0.0989497269419527
1.96,-23.2280194194721,-0.10225568697702
1.98,-22.7916866036128,-0.105681912400602
2,-22.3740512062234,-0.109228400477807
2.02,-21.9737845756409,-0.112894836813163
2.04,-21.5897117548233,-0.116680588288169
2.06,-21.2207886997389,-0.120584696864114
2.08,-20.8660835640314,-0.124605874282129
2.1,-20.5247612119717,-0.128742497689252
2.12,-20.1960703159981,-0.132992606215877
2.14,-19.8793325397604,-0.137353898526531
2.16,-19.5739334163181,-0.141823731362364
2.18,-19.2793146136928,-0.146399119089973
2.2,-18.9949673432027,-0.151076734267542
2.22,-18.7204267148486,-0.155852909235576
2.24,-18.4552668820448,-0.160723638735513
2.26,-18.1990968478161,-0.165684583556013
2.28,-17.9515568281442,-0.170731075202814
2.3,-17.7123150868805,-0.175858121584526
2.32,-17.4810651716368,-0.18106041370304
2.34,-17.2575234921337,-0.186332333333932
2.36,-17.0414271922575,-0.191667961678812
2.38,-16.8325322750295,-0.197061088968487
2.4,-16.6306119462002,-0.202505224992698
2.42,-16.4354551475269,-0.207993610529606
2.44,-16.2468652552171,-0.213519229645353
2.46,-16.0646589226818,-0.219074822831825
2.48,-15.8886650498041,-0.224652900948554
2.5,-15.7187238634799,-0.230245759932636
2.52,-15.5546860963405,-0.235845496239123
2.54,-15.3964122523765,-0.241444022972656
2.56,-15.2437719497175,-0.247033086670004
2.58,-15.0966433321267,-0.252604284692281
2.6,-14.95491254188,-0.258149083184793
2.62,-14.8184732476536,-0.263658835561993
2.64,-14.6872262218599,-0.269124801474871
2.66,-14.561078962578,-0.274538166217854
2.68,-14.4399453558365,-0.279890060532637
2.7,-14.3237453745336,-0.285171580766569
2.72,-14.2124048107459,-0.290373809343816
2.74,-14.1058550385794,-0.295487835508084
2.76,-14.0040328050753,-0.300504776296625
2.78,-13.906880046995,-0.305415797706047
2.8,-13.8143437315923,-0.310212136011548
2.82,-13.7263757197289,-0.314885119202336
2.84,-13.6429326499138,-0.319426188496922
2.86,-13.5639758420531,-0.323826919903675
2.88,-13.4894712198804,-0.32807904579267
2.9,-13.4193892512117,-0.332174476446523
2.92,-13.353704905324,-0.336105321558952
2.94,-13.2923976269111,-0.33986391165098
2.96,-13.2354513262084,-0.343442819375787
2.98,-13.1828543850161,-0.34683488068436
3,-13.1345996784849,-0.350033215824867
3.02,-13.0906846126569,-0.353031250149718
3.04,-13.0511111778887,-0.355822734704708
3.06,-13.0158860184164,-0.358401766575401
3.08,-12.9850205184587,-0.360762808966439
3.1,-12.9585309053998,-0.362900710989074
3.12,-12.9364383707438,-0.364810727133148
3.14,-12.918769209694,-0.366488536398926
3.16,-12.9055549803855,-0.367930261064001
3.18,-12.8968326839884,-0.36913248506026
3.2,-12.892644967109,-0.370092271934598
3.22,-12.893040348146,-0.370807182366577
3.24,-12.8980734695158,-0.371275291214637
3.26,-12.9078053779533,-0.371495204061435
3.28,-12.922303835414,-0.371466073226744
3.3,-12.9416436634797,-0.371187613215003
3.32,-12.9659071245847,-0.370660115562189
3.34,-12.9951843438649,-0.369884463044508
3.36,-13.0295737759815,-0.368862143209001
3.38,-13.0691827219108,-0.367595261183378
3.4,-13.1141279014272,-0.366086551719709
3.42,-13.1645360878628,-0.364339390423709
3.44,-13.220544812726,-0.362357804117799
3.46,-13.2823031489264,-0.360146480283823
3.48,-13.3499725827254,-0.357710775527082
3.5,-13.4237279861428,-0.35505672300073
3.52,-13.5037587034577,-0.352191038726035
3.54,-13.5902697677042,-0.349121126740747
3.56,-13.6834832657577,-0.345855083004676
3.58,-13.7836398738273,-0.342401697988485
3.6,-13.8910005890425,-0.338770457868939
3.62,-14.0058486874807,-0.334971544251071
3.64,-14.1284919446364,-0.331015832335457
3.66,-14.2592651611997,-0.326914887446812
3.68,-14.3985330454163,-0.322680959838478
3.7,-14.5466935136208,-0.318326977686363
3.72,-14.7041814832841,-0.31386653818543
3.74,-14.8714732487522,-0.309313896661788
3.76,-15.0490915496325,-0.304683953614389
3.78,-15.2376114666518,-0.299992239602125
3.8,-15.4376673112627,-0.295254897894259
3.82,-15.6499607153444,-0.290488664805999
3.84,-15.8752701787407,-0.285710847645039
3.86,-16.1144623988209,-0.28093930020101
3.88,-16.3685057928178,-0.276192395715874
3.9,-16.6384867374582,-0.271488997281698
3.92,-16.9256292012223,-0.266848425621198
3.94,-17.2313186464263,-0.26229042421679
3.96,-17.5571313511805,-0.257835121765995
3.98,-17.9048706739862,-0.25350299195385
4,-18.2766122984588,-0.2493148105474
4.02,-18.6747612146953,-0.245291609833264
4.04,-19.1021242101449,-0.241454630436053
4.06,-19.5620030967458,-0.237825270573533
4.08,-20.0583160055294,-0.234425032823812
4.1,-20.5957571592434,-0.231275468499785
4.12,-21.1800100788242,-0.228398119747381
4.14,-21.8180359154813,-0.225814459505681
4.16,-22.5184685225457,-0.223545829489152
4.18,-23.2921620824961,-0.221613376374851
4.2,-24.1529556940157,-0.220037986399744
4.22,-25.1187368692274,-0.21884021859582
4.24,-26.212873654991,-0.218040236912091
4.26,-27.4659217084,-0.217657741493723
4.28,-28.9167037811924,-0.217711899408427
4.3,-30.6083566171667,-0.218221275128679
4.32,-32.5602513584147,-0.219203761094706
4.34,-34.6421383610913,-0.220676508698408
4.36,-36.204262256373,-0.222655860040152
4.38,-36.0708229987429,-0.225157280820534
4.4,-34.3257570289438,-0.228195294735487
4.42,-32.1499349492153,-0.231783419747296
4.44,-30.1289962834357,-0.235934106604101
4.46,-28.3695890723942,-0.24065867997723
4.48,-26.847604582481,-0.245967282579227
4.5,-25.5197942506607,-0.251868822614894
4.52,-24.3480585206688,-0.258370924903221
4.54,-23.3025593351657,-0.265479885990856
4.56,-22.360496760219,-0.273200633556086
4.58,-21.5044102298765,-0.281536690377745
4.6,-20.7207792911327,-0.290490143115702
4.62,-19.9989895920449,-0.300061616118841
4.64,-19.3305902758142,-0.310250250443359
4.66,-18.7087619028876,-0.321053688228641
4.68,-18.1279322371349,-0.332468062541023
4.7,-17.5834955138902,-0.344487992757163
4.72,-17.0716046006915,-0.357106585519691
4.74,-16.5890150596639,-0.370315441257989
4.76,-16.1329666286744,-0.384104666227645
4.78,-15.7010920302125,-0.398462889983318
4.8,-15.2913459941818,-0.41337728816205
4.82,-14.9019494172293,-0.428833610418029
4.84,-14.5313449895663,-0.444816213315702
4.86,-14.1781616057412,-0.461308097956661
4.88,-13.8411855737496,-0.478290952086497
4.9,-13.5193371369907,-0.495745196402589
4.92,-13.2116511860596,-0.513650034760628
4.94,-12.9172613029846,-0.531983507959262
4.96,-12.635386477187,-0.550722550766484
4.98,-12.365319979511,-0.569843051840055
5,-12.1064199916915,-0.589319916185996
5.02,-11.8581016731742,-0.609127129795259
